reportingEntity,facilityName,type,state,electricityProductionGJ,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,gridConnected,grid,primaryFuel,importantNotes
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,42254.0,11737.0,0,16.0,16,0.0,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,TAS,43117.0,11977.0,745,1.0,746,0.06,On,NEM,Landfill Gas,N/A
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1136668.0,315741.0,135,217.0,352,0.0,On,NEM,Wind,N/A
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,858516.0,238477.0,85,187.0,272,0.0,On,NEM,Wind,N/A
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1543714.0,428809.0,133,360.0,493,0.0,On,NEM,Wind,N/A
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,489049.0,135847.0,75,175.0,250,0.0,On,NEM,Wind,N/A
AGL ENERGY LIMITED,Hobart Landfill Generation,F,TAS,27374.0,7604.0,427,0.0,427,0.06,On,NEM,Landfill Gas,N/A
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,901.0,250.0,355,869.0,1224,1.42,On,NEM,Gas,N/A
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,14613.0,4059.0,238,5.0,243,0.06,On,NEM,Landfill Gas,N/A
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,24864251.0,6906736.0,6514993,46355.0,6561348,0.94,On,NEM,Black Coal,N/A
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,58415084.0,16226412.0,18508708,268516.0,18777224,1.14,On,NEM,Brown Coal,N/A
